Index,Data,Frequency,Real,Imaginary,Abs
411,-1612,13152,-32.455,39.0659,50.7884
412,-1613,13184,-24.8783,-1.13916,24.9044
413,-1617,13216,-41.8855,16.4169,44.9879
414,-1634,13248,-14.9468,4.85931,15.7168
415,-1666,13280,-12.6809,-4.60876,13.4924
416,-1706,13312,-30.5631,16.8137,34.8827
417,-1739,13344,-39.6914,-3.29828,39.8282
418,-1762,13376,-30.7567,-12.977,33.3823
419,-1782,13408,-18.7703,2.50006,18.936
420,-1800,13440,-17.3505,3.74005,17.749
421,-1825,13472,-29.0016,5.88885,29.5934
422,-1855,13504,-15.9821,1.65405,16.0674
423,-1879,13536,-32.83,11.0601,34.6429
424,-1886,13568,-27.7821,-0.744812,27.7921
425,-1877,13600,-42.5638,6.8291,43.1082
426,-1861,13632,-30.5145,-7.47119,31.4158
427,-1848,13664,-39.3802,10.1511,40.6675
428,-1845,13696,-27.5476,-3.44061,27.7616
429,-1847,13728,-8.96899,-6.65881,11.1706
430,-1844,13760,-18.8307,-0.406494,18.8351
431,-1831,13792,-19.6193,-4.23792,20.0718
432,-1806,13824,-33.486,-6.91174,34.1918
433,-1781,13856,-18.952,22.8991,29.7245
434,-1763,13888,-32.9902,-2.55768,33.0892
435,-1754,13920,-20.7843,-3.80969,21.1306
436,-1748,13952,-22.5696,-7.97998,23.9388
437,-1737,13984,-17.1056,4.06555,17.5821
438,-1716,14016,-20.7367,-0.23291,20.738
439,-1683,14048,-24.8386,6.21027,25.6032
440,-1645,14080,-23.1731,21.2997,31.4749
441,-1613,14112,-26.4624,-3.94574,26.755
442,-1592,14144,-22.4318,11.3151,25.124
443,-1579,14176,-20.4877,6.8399,21.5993
444,-1567,14208,-14.9481,8.3512,17.1228
445,-1549,14240,-19.9349,-3.48065,20.2365
446,-1524,14272,-16.2236,-11.1209,19.6693
447,-1499,14304,-24.8633,-6.91376,25.8066
448,-1483,14336,-25.1914,5.10016,25.7025
449,-1479,14368,-38.7732,8.21942,39.6348
450,-1482,14400,-31.6896,5.28439,32.1272
451,-1483,14432,-14.639,-8.30249,16.8295
452,-1477,14464,-32.46,7.83472,33.3921
453,-1469,14496,-41.5175,2.44308,41.5893
454,-1468,14528,-30.0045,2.48792,30.1075
455,-1485,14560,-26.1581,9.55664,27.8491
456,-1522,14592,-20.3513,7.24017,21.6008
457,-1563,14624,-36.8031,5.43042,37.2016
458,-1594,14656,-27.6621,2.22348,27.7513
459,-1608,14688,-22.9637,11.668,25.758
460,-1612,14720,-18.7648,-3.81683,19.149
461,-1612,14752,-23.7648,-0.0170288,23.7648
462,-1619,14784,-24.8324,-2.10733,24.9217
463,-1641,14816,-19.4468,0.197601,19.4478
464,-1677,14848,-33.3401,0.755157,33.3486
465,-1715,14880,-36.5216,-3.59164,36.6978
466,-1745,14912,-34.5802,5.12344,34.9577
467,-1767,14944,-22.6162,8.88269,24.298
468,-1786,14976,-36.0328,0.309845,36.0342
469,-1806,15008,-24.9567,4.26984,25.3193
470,-1833,15040,-35.3905,3.92914,35.6079
471,-1862,15072,-28.4138,3.59647,28.6405
472,-1881,15104,-28.7736,4.66931,29.15
473,-1883,15136,-16.9072,-9.38312,19.3364
474,-1870,15168,-21.3779,-8.43326,22.9812
475,-1853,15200,-20.7965,-4.66782,21.3139
476,-1844,15232,-29.7537,6.33696,30.421
477,-1844,15264,-18.5581,0.789307,18.5749
478,-1845,15296,-27.7203,-7.0515,28.6032
479,-1840,15328,-18.2338,1.11148,18.2676
480,-1821,15360,-25.0797,-8.74501,26.5606
481,-1796,15392,-31.7725,8.11763,32.7931
482,-1774,15424,-31.554,9.86069,33.0588
483,-1757,15456,-31.8376,15.7452,35.5183
484,-1749,15488,-25.5205,-2.71133,25.6641
485,-1744,15520,-22.3859,11.271,25.0632
486,-1729,15552,-37.4315,-5.16573,37.7863
487,-1705,15584,-30.424,-3.69968,30.6481
488,-1669,15616,-20.8724,0.539497,20.8794
489,-1631,15648,-24.542,4.5368,24.9578
490,-1603,15680,-28.8735,-6.73611,29.6489
491,-1586,15712,-24.0442,-21.2161,32.0663
492,-1576,15744,-37.8483,1.86341,37.8941
493,-1563,15776,-30.697,0.974045,30.7125
494,-1541,15808,-21.2896,6.26419,22.192
495,-1514,15840,-30.9791,-1.55572,31.0182
496,-1492,15872,-27.1371,5.96774,27.7855
497,-1479,15904,-9.52795,11.8682,15.2196
498,-1477,15936,-15.0551,-2.30714,15.2308
499,-1482,15968,-27.821,2.91802,27.9737
500,-1481,16000,-32,-0.398233,32.0025
501,-1472,16032,-29.6505,-3.90324,29.9063
502,-1465,16064,-16.928,4.12634,17.4236
503,-1468,16096,-9.85828,-13.9358,17.0702
504,-1494,16128,-26.5038,-6.46433,27.2807
505,-1535,16160,-31.2177,2.90897,31.3529
506,-1575,16192,-20.7344,-4.56488,21.2309
507,-1602,16224,-32.9443,-1.9329,33.001
508,-1613,16256,-34.7908,-0.759766,34.7991
509,-1614,16288,-23.6008,20.9028,31.5266
510,-1616,16320,-28.7845,6.66267,29.5456
511,-1627,16352,-24.7269,-4.81991,25.1923
512,-1654,16384,-21.226,-0.689003,21.2371
513,-1694,16416,-30.1768,2.10493,30.2501
514,-1730,16448,-38.0358,5.14592,38.3823
515,-1756,16480,-22.111,-11.1153,24.7476
516,-1776,16512,-27.6638,2.70293,27.7956
517,-1793,16544,-33.5781,-16.5272,37.4251
